,input,true,prediction
3399,yerpadave,ஏற்படவே,"யர்படவே
"
3400,rohtak,ரோடக்,"ரோத்டா்
"
3401,mannikkavum,மன்னிக்கவும்,"மண்ணிக்கவும்
"
3402,buena,ப்யூனா,"பீனா
"
3403,jenn,ஜென்,"ஜென்
"
3404,veruththaar,வெறுத்தார்,"வெருத்தார்
"
3405,himachalap,இமாச்சலப்,"ஹிமாச்சாப்
"
3406,mahbubnagar,மஹ்புப்நகர்,"மஹ்புப்னகரர்
"
3407,kavarndha,கவர்ந்த,"கவர்ந்த
"
3408,palakkad,பாலக்காடு,"பலக்கட்
"
3409,gillette,கில்லட்,"கில்லெட்டே
"
3410,committiyil,கமிட்டியில்,"கமம்மிட்டியில்
"
3411,koppaiyil,கோப்பையில்,"கொப்பையில்
"
3412,paguppaayvu,பகுப்பாய்வு,"பகுப்பாய்வு
"
3413,noidaa,நொய்டா,"நோய்டா
"
3414,racklaa,ரேக்ளா,"ராக்காா
"
3415,vichaariththa,விசாரித்த,"விச்சாரித்த
"
3416,kampattin,கம்பத்தின்,"கம்பட்டின்
"
3417,tholilin,தொழிலின்,"தொலிலின்
"
3418,thamizharingyar,தமிழறிஞர்,"தமிழரிங்கிரர்
"
3419,oyal,ஆயில்,"ஒயல்
"
3420,vishwakarma,விஸ்வகர்மா,"விஷ்வாரர்மா
"
3421,qiiran,கிரண்,"ஜிரிரான்
"
3422,sastrrii,சாஸ்திரி,"சா்ட்ரிரி
"
3423,ulhasnagar,உல்லாஸ்நகர்,"உழ்நச்சர்
"
3424,kaettanar,கேட்டனர்,"கேட்டனர்
"
3425,unavugalaich,உணவுகளைச்,"உணவுகளைச்
"
3426,thondriya,தோன்றிய,"தொன்றிய
"
3427,pothumai,பொதுமை,"பொத்துமை
"
3428,mohammad,முஹம்மத்,"மோஹம்மட்
"
3429,carson,கர்சன்,"கார்ச்்
"
3430,yuba,யூபா,"யுபா
"
3431,nuzhinththathu,நுழைந்தது,"நுழிந்தது
"
3432,chozhar,சோழர்,"சொழர்
"
3433,surendarr,சரணடைய,"சுரேண்டரர்
"
3434,vlademer,விளாடிமிர்,"விலாடமேர்
"
3435,lugo,லூகோ,"லுகோ
"
3436,pyjmies,பியார்,"பிஜ்மிச்
"
3437,panesar,பனேசர்,"பணேசர்
"
3438,morales,மோராலெஸ்,"மோரலே்்
"
3439,mahindhiraa,மஹிந்திரா,"மஹிந்திரா
"
3440,anjchu,அஞ்சு,"அஞ்சு
"
3441,kiriththavargalin,கிறித்தவர்களின்,"கிரித்தவர்களின்
"
3442,paaluuttikalil,பாலூட்டிகளில்,"பாலுட்டிகளில்
"
3443,jaadhaav,ஜாதாவ்,"ஜாதாவ்
"
3444,sadhaveedhamaaka,சதவீதமாக,"சதவீதமாக
"
3445,thodumpothu,தொடும்போது,"தொடும்போது
"
3446,leandro,லியான்ட்ரோ,"லான்தோரோ
"
3447,pukalpetrtraar,புகழ்பெற்றார்,"புகல்பெற்றார்
"
3448,kiiran,கிரண்,"கிரன்
"
3449,porunkadalil,பொருங்கடலில்,"பொருங்கடலில்
"
3450,upadhyay,உபாத்யாய்,"உபத்யயய
"
3451,sasidharan,சசிதரன்,"சசிதரர்ன

"
3452,siraikku,சிறைக்கு,"சிறைக்கு
"
3453,valangappadaamal,வழங்கப்படாமல்,"வலங்கப்படாமல்
"
3454,sollikkinen,சொல்லிக்கினேன்,"சொல்லிக்கினின்
"
3455,pinpuramaaga,பின்புறமாக,"பின்புறமாக
"
3456,nigazhvaip,நிகழ்வைப்,"நிகழ்வைப்
"
3457,theerkkatharisi,தீர்க்கதரிசி,"தீர்க்கதறிசி
"
3458,oodakaththil,ஊடகத்தில்,"ூடகத்தில்
"
3459,kayitrtrin,கயிற்றின்,"கயிற்றின்
"
3460,onrukkaakavum,ஒன்றுக்காகவும்,"ஒன்றுக்காகவும்
"
3461,yenid,எனிட்,"யனிட்
"
3462,thokuppil,தொகுப்பில்,"தொகுப்பில்
"
3463,rehmaan,ரஹ்மான்,"ரெஹ்மான்
"
3464,kadanthadhu,கடந்தது,"கடந்தது
"
3465,kalluri,கல்லூரி,"கல்லூரி
"
3466,caent,சென்ட்,"கேண்ட்
"
3467,suyanalaththukkaagavo,சுயநலத்துக்காகவோ,"சுயநலத்துக்காகவோ
"
3468,uruthiyaana,உறுதியான,"உருதியான
"
3469,indiavai,இந்தியாவை,"இந்தியாவ

"
3470,nakarththuvathaiyum,நகர்த்துவதையும்,"நகர்த்துவதையும்
"
3471,vinchi,விஞ்சி,"விஞ்சி
"
3472,thadayanggal,தடயங்கள்,"தடயங்கள்
"
3473,godfrey,காட்ஃப்ரே,"கோட்ப்ரரி
"
3474,jaapaan,ஜப்பான்,"ஜாபான்
"
3475,kofi,கோபி,"கோப்பி
"
3476,nuzhinththapoathu,நுழைந்தபோது,"நுழிந்தபோது
"
3477,richardson,ரிச்சர்ட்சன்,"ரிச்சா்த்்ன

"
3478,yavarukkum,எவருக்கும்,"யவருக்கும்
"
3479,saasanangal,சாசனங்கள்,"சாசனங்கள்
"
3480,sirohi,சிரோஹி,"சிறோஹி
"
3481,keezhiranki,கீழிறங்கி,"கீழிறங்கி
"
3482,symms,சிம்ஸ்,"சிம்ம்்்
"
3483,alexander,அலெக்சாண்டர்,அல்கெக்க்ட்ர்
3484,thunichchal,துணிச்சல்,"துணிச்சல்
"
3485,sanggaththil,சங்கத்தில்,"சங்கத்தில்
"
3486,paekki,பெக்கி,"பேக்கி
"
3487,kalviyodu,கல்வியோடு,"கல்வியோடு
"
3488,kaasivisuvanathasuvamy,காசிவிசுவநாதசுவாமி,"காசிவிசுவனதுசமயய்ம
"
3489,pirajvaran,பிரஜ்வரன்,"பிரஜ்வரன்
"
3490,kaalakattangalil,காலகட்டங்களில்,"காலகட்டங்களில்
"
3491,kidaikkakkoodiya,கிடைக்கக்கூடிய,"கிடைக்கக்கூடிய
"
3492,nathikalum,நதிகளும்,"நதிகளும்
"
3493,roaver,ரோவர்,"ரோவேர்
"
3494,achchaththil,அச்சத்தில்,"அச்சத்தில்
"
3495,thanakkaga,தனக்காக,"தனக்கக
"
3496,kalaai,கலாய்,"கலாய்
"
3497,magizhndhiruppargal,மகிழ்ந்திருப்பார்கள்,"மகிழ்ந்திருப்பர்கள்
"
3498,torres,டார்ரெஸ்,"டோர்ர்்்
"
3499,pirandhadhaal,பிறந்ததால்,"பிரந்ததால்
"
3500,state,ஸ்டேட்,"எ்டாட்
"
3501,nadhiyil,நதியில்,"நதியில்
"
3502,pathakakkam,பதகக்கம்,"பதகக்கம்
"
3503,athupatrri,அதுபற்றி,அதுபா்திரி
3504,nadiththathu,நடித்தது,"நடித்தது
"
3505,thankiya,தங்கிய,"தங்கிய
"
3506,visaarithar,விசாரித்தார்,"விசாரிதர்
"
3507,pandavargal,பாண்டவர்கள்,"பண்டவர்கள்
"
3508,dindigul,திண்டுக்கல்,"திண்டிகுள்
"
3509,kitaikkaathu,கிடைக்காது,"கிடைக்காது
"
3510,ramachchandiran,ராமச்சந்திரன்,ரமம்ச்்ணடிரன்ன
3511,paaluuttigal,பாலூட்டிகள்,"பாலுட்டிகள்
"
3512,mudindthathum,முடிந்ததும்,"முடிந்ததும்
"
3513,preemm,பிரேம்,"பிரீம்ம்
"
3514,vidappattulladhu,விடப்பட்டுள்ளது,"விடப்பட்டுள்ளது
"
3515,syracuse,சைராகுஸ்,"ச்ராரசசசச
"
3516,aaloachanaikalaiyum,ஆலோசனைகளையும்,"ஆளோசனைகளையும்
"
3517,ginniyaa,கிண்ணியா,"கின்னியா
"
3518,kaaranamaagave,காரணமாகவே,"காரணமாகவே
"
3519,aatrtru,ஆற்று,"ஆற்று
"
3520,sampirathaya,சம்பிரதாய,"சம்பிரதய
"
3521,selvadharkaaga,செல்வதற்காக,"செல்வதற்காக
"
3522,kuuttattin,கூட்டத்தின்,"குட்டட்டின்
"
3523,manassas,மனஸாஸ்,"மணச்சச்
"
3524,thamizhakatthu,தமிழகத்து,"தமிழகத்து
"
3525,dawid,டேவிட்,"டாவிட்
"
3526,kuurappatirukkum,கூறப்பட்டிருக்கும்,"குரப்படிருக்கும்
"
3527,thuravi,துறவி,"துரவி
"
3528,aththiyaayam,அத்தியாயம்,"அத்தியாயம்
"
3529,muththa,முத்த,"முத்த
"
3530,fincorp,ஃபின்கார்ப்,"பின்கோர்ப்
"
3531,sarakkugal,சரக்குகள்,"சரக்குகள்
"
3532,maeniyai,மேனியை,"மேனியை
"
3533,nerukkadigal,நெருக்கடிகள்,"நெருக்கடிகள்
"
3534,hardoi,ஹர்டோய்,"ஹர்டோய்
"
3535,enka,என்க,"என்க
"
3536,meengalin,மீன்களின்,"மீங்களின்
"
3537,kettadharku,கேட்டதற்கு,"கெட்டதர்கு
"
3538,thethiyum,தேதியும்,"தெதியும்
"
3539,seetuu,சிட்டு,"சீடு
ு
"
3540,theerppaal,தீர்ப்பால்,"தீர்ப்பால்
"
3541,thaniththanik,தனித்தனிக்,"தனித்தனிக்
"
3542,irukkavillai,இருக்கவில்லை,"இருக்கவில்லை
"
3543,sind,சிந்த்,"சிந்த்
"
3544,secret,சீக்ரெட்,"செக்க்ட்
"
3545,saanji,சாஞ்சி,"சாஞ்சி
"
3546,amerikaa,அமெரிக்கா,"அமெரிகாகா
"
3547,arrakka,அரக்க,"அர்ராக்கா
"
3548,theriviththullathaagavum,தெரிவித்துள்ளதாகவும்,"தெரிவித்துள்ளதாகவும்
"
3549,azhakil,அழகில்,"அழகில்
"
3550,dheergadarisi,தீர்க்கதரிசி,"தீர்கடரிசி
"
3551,kaelvin,கெல்வின்,"கேல்வின்
"
3552,pirkaalaththu,பிற்காலத்து,"பிற்காலத்து
"
3553,bharadwaj,பரத்வாஜ்,"பாரா்வாஜ்
"
3554,pasadena,பசதேனா,"பசடேனா
"
3555,pooki,போகி,"பூகி
"
3556,chaallukiyar,சாளுக்கியர்,"சால்லுகியர்
"
3557,aarvaththai,ஆர்வத்தை,"ஆர்வத்தை
"
3558,sellers,செல்லர்ஸ்,"செல்லெர்்்
"
3559,pirathaesam,மத்தியப்,"பிரதேசம்
"
3560,securities,செக்யூரிட்டீஸ்,"செக்குரிட்ட்
"
3561,kooppaikkaana,கோப்பைக்கான,"கோப்பைக்கான
"
3562,pirabhuvin,பிரபுவின்,"பிரபுவின்
"
3563,erkanavae,ஏற்கனவே,"எர்கணவே
"
3564,kaetkappaduvathai,கேட்கப்படுவதை,"கேட்கப்படுவதை
"
3565,peyaro,பெயரோ,"பெயரோ
"
3566,varghese,வர்கீஸ்,"வர்்ேீீ
"
3567,avanka,அவங்க,"அவங்க
"
3568,kudayyin,குடையின்,"குடயயின்
"
3569,kasera,கசேரா,"கசேரா
"
3570,konduuraiyatrum,கொண்டுஉரையாற்றும்,"கொண்டுரையற்றும்
"
3571,mantham,மந்தம்,"மந்தம்
"
3572,chiraippadikkiren,சிறைப்படிக்கிறேன்,"சிறைப்படிக்கிறேன்
"
3573,podaathaiyum,போடாதையும்,"பொடாதையும்
"
3574,kulangkalai,குளங்களை,"குலங்களை
"
3575,missouri,மிஸோரி,"மிச்சூரி
"
3576,thiraikku,திரைக்கு,"திரைக்கு
"
3577,ekapoaka,ஏகபோக,"எகபோக
"
3578,panigal,பணிகள்,"பணிகள்
"
3579,seyalaichcheiyaamal,செயலைச்செய்யாமல்,"செயலைச்செய்யாமல்
"
3580,kadhigalukku,கைதிகளுக்கு,"கதிகளுக்கு
"
3581,maethyoo,மேத்யூ,"மேத்யோ
"
3582,garden,கார்டன்,"கார்டன்
"
3583,rungta,ருங்டா,"ருங்டா
"
3584,azhaippu,அழைப்பு,"அழைப்பு
"
3585,mudindhullathu,முடிந்துள்ளது,"முடிந்துள்ளது
"
3586,technoplast,டெக்னோப்ளாஸ்ட்,டெக்சோப்ள்்்்்
3587,paavangkal,பாவங்கள்,"பாவங்கள்
"
3588,aalayamum,ஆலயமும்,"ஆளயமும்
"
3589,vazhakkup,வழக்குப்,"வழக்குப்
"
3590,harrij,ஹாரிஸ்,"ஹரரரிஜ்
"
3591,nokki,நோக்கி,"நோக்கி
"
3592,kootpaadu,கோட்பாடு,"கூட்பாடு
"
3593,kopaiyil,கோப்பையில்,"கோபையில்
"
3594,mukkthi,முக்தி,"முக்கிதி
"
3595,dei,டேய்,"டெய்
"
3596,padaippakka,படைப்பாக்க,"படைப்பக்க
"
3597,pradesh,ப்ரதேஷ்,பிராேஷ்்
3598,muthaliyavargal,முதலியவர்கள்,"முதலியவர்கள்
"
3599,athikaaravarkkaththinaal,அதிகாரவர்க்கத்தினால்,"அதிகாரவர்க்தினாலால்
"
3600,kavalthuraip,காவல்துறைப்,"கவல்துரைப்
"
3601,kaalame,காலமே,"காலமே
"
3602,moorththi,மூர்த்தி,"மூர்த்தி
"
3603,kanara,கனரா,"கணரா
"
3604,maalaiyai,மாலையை,"மாலையை
"
3605,mikka,திறன்,"மிக்க
"
3606,viyanththa,வியந்த,"வியந்த
"
3607,palarukkum,பலருக்கும்,"பலருக்கும்
"
3608,kidanku,கிடங்கு,"கிடங்கு
"
3609,controls,கன்ட்ரோல்ஸ்,"கான்தோல்்்
"
3610,unavukalaich,உணவுகளைச்,"உணவுகளைச்
"
3611,couult,கோல்ட்,"கோு்ட்
"
3612,munnanikku,முன்னணிக்கு,"முன்னணிக்கு
"
3613,uuzhiyargalum,ஊழியர்களும்,"யழியர்களும்
"
3614,kurainthavai,குறைந்தவை,"குறைந்தவை
"
3615,aatharvaagach,ஆதரவாகச்,"ஆதர்வாகச்
"
3616,mangla,மங்லா,"மங்கள
"
3617,tamizhakatthaich,தமிழகத்தைச்,"தமிழகத்தைச்
"
3618,kelvik,கேள்விஃ,"கேல்விக்
"
3619,moondrilirunththu,மூன்றிலிருந்து,"மூன்றிலிருந்து
"
3620,pukalpettravai,புகழ்பெற்றவை,"புகல்பெற்றவை
"
3621,paechupavarkal,பேசுபவர்கள்,"பேசுபவர்கள்
"
3622,koduththiruppargal,கொடுத்திருப்பார்கள்,"கொடுத்திருப்பர்கள்
"
3623,irukkindrom,இருக்கின்றோம்,"இருக்கின்றோம்
"
3624,kerr,கெர்,"கேர்ர்
"
3625,lakhmani,லக்மனி,"லக்்மணி
"
3626,koolp,கோல்ப்,"கூல்ப்
"
3627,vishayaththilum,விஷயத்திலும்,"விஷயத்திலும்
"
3628,vazhinadaththum,வழிநடத்தும்,"வழிநடத்தும்
"
3629,negi,நெகி,நெகிக
3630,inthanilaiyil,இந்தநிலையில்,"இந்தனிலையில்
"
3631,sangaththil,சங்கத்தில்,"சங்கத்தில்
"
3632,vazhipaduvadhu,வழிபடுவது,"வழிபடுவது
"
3633,kaalaandil,காலாண்டில்,"காலாண்டில்
"
3634,mattravarkal,மற்றவர்கள்,"மற்றவர்கள்
"
3635,tharunankkalil,தருணங்களில்,"தருணங்களில்
"
3636,vaazhvilirukkum,வாழ்விலிருக்கும்,"வாழ்விலிருக்கும்
"
3637,sindhanaiyaalargalathu,சிந்தனையாளர்களது,"சிந்தனையாளர்களது
"
3638,magizhthirumeni,மகிழ்திருமேணி,"மகிழ்திருமெனி
"
3639,pudhuchcheariyai,புதுச்சேரியை,"புதுச்செறிரையை
"
3640,ainn,ஆன்,"ஆன்ன்
"
3641,sreerankaththil,ஸ்ரீரங்கத்தில்,"ச்ரீரங்கத்தில்
"
3642,padaiththaan,படைத்தான்,"படைத்தான்
"
3643,pae,பை,"பே
"
3644,seithamaiaal,செய்தமையால்,"செய்தமையால்
"
3645,muzhangka,முழங்க,"முழங்க
"
3646,mukamaakavum,முகமாகவும்,"முகமாகவும்
"
3647,reshii,ரிஷி,"ரேஷிிி
"
3648,thokaiyai,தொகையை,"தொகையை
"
3649,vaakanamaaka,வாகனமாக,"வாகணமாக
"
3650,kondirukku,கொண்டிருக்கு,"கொண்டிருக்கு
"
3651,jay,ஜெ,"ஜெய்
"
3652,randhawa,ரன்தவா,"ரந்தவா
"
3653,maiyamaagak,மையமாகக்,"மையமாகக்
"
3654,kollathavar,கொள்ளாதவர்,"கொள்ளதவர்
"
3655,kambalattu,கம்பளத்து,"கம்பலட்டு
ு"
3656,lozano,லொசானோ,"லோழனோ
"
3657,pagirappatduvidum,பகிரப்பட்டுவிடும்,"பகிரப்பட்டுவிடும்
"
3658,maattikkondaarkalaa,மாட்டிக்கொண்டார்களா,"மாட்டிக்கொண்டார்களா
"
3659,illaathavargal,இல்லாதவர்கள்,"இல்லாதவர்கள்
"
3660,thamilakatthaich,தமிழகத்தைச்,"தமிலக்தைச்ச்
"
3661,thoalvikku,தோல்விக்கு,"தோல்விக்கு
"
3662,suttukkolgiraal,சுட்டுக்கொள்கிறாள்,"சுட்டுக்கொள்கிறாள்
"
3663,nadanthirukkirathu,நடந்திருக்கிறது,"நடந்திருக்கிறது
"
3664,wardha,வார்தா,"வர்தத
"
3665,kamittiyin,கமிட்டியின்,"கமித்டியின்
"
3666,machilipatnam,மசிலிபட்ணம்,மச்சிலிப்்ன்்ம்
3667,suvaroram,சுவரோரம்,சுவரரரர்ம்
3668,ippaathai,இப்பாதை,"இப்பாதை
"
3669,seluththinar,செலுத்தினர்,"செலுத்தினர்
"
3670,samaddar,சமத்தர்,"சமட்டர்
"
3671,qwantam,குவாண்டம்,"குவாண்டம்
"
3672,oththuzhaikkinranar,ஒத்துழைக்கின்றனர்,"ஒத்துழைக்கின்றனர்
"
3673,naattiyaththil,நாட்டியத்தில்,"நாட்டியத்தில்
"
3674,nandrikal,நன்றிகள்,"நன்றிகள்
"
3675,chaibasa,சாய்பாசா,"சைபாச
"
3676,taitanium,டைட்டானியம்,"டைட்ணிும்
"
3677,miami,மியாமி,"மியாமி
"
3678,nuraiyiiral,நுரையீரல்,"நுரையிரல்
"
3679,gulmarg,குல்மர்க்,குல்மார்க்
3680,seyarpaadugalil,செயற்பாடுகளில்,"செயர்பாடுகளில்
"
3681,srinivaasan,ஸ்ரீநிவாசன்,"ச்ரீனிவாசன்
"
3682,colorado,கொலராடோ,"கோலோரடடோ
"
3683,tira,திற,"திரா
"
3684,avaludan,அவளுடன்,"அவலுடன்
"
3685,aerpaduthal,ஏற்படுதல்,"ஏற்படுதல்
"
3686,kulaiththaalum,குலைத்தாலும்,"குலைத்தாலும்
"
3687,vazhangkappaduvathu,வழங்கப்படுவது,"வழங்கப்படுவது
"
3688,asoka,அசோகா,"அசோகா
"
3689,aayvukalaiyum,ஆய்வுகளையும்,"ஆய்வுகளையும்
"
3690,bayamum,பயமும்,"பயமும்
"
3691,nadaiperaadha,நடைபெறாத,"நடைபெறாத
"
3692,jyothy,ஜ்யோதி,"ஜோத்யி
"
3693,yoore,யூரி,"யூர்
"
3694,irundhaaley,இருந்தாலே,"இருந்தாலெய்
"
3695,parigaaram,பரிகாரம்,"பரிகாரம்
"
3696,uooraga,ஊரக,"யரகக
"
3697,misra,மிஸ்ரா,"மிர்ரா
"
3698,kondirukka,கொண்டிருக்க,"கொண்டிருக்க
"
3699,kalloorigalukku,கல்லூரிகளுக்கு,"கல்லூரிகளுக்கு
"
3700,piriththa,பிரித்த,"பிரித்த
"
3701,holt,ஹோல்ட்,"ஹோல்ட்
"
3702,kolukattai,கொழுக்கட்டை,"கொளுகட்டை
"
3703,munthi,முந்தி,"முந்தி
"
3704,pottuvittu,போட்டுவிட்டு,"பொட்டுவிட்டு
"
3705,ariviththirundhadhu,அறிவித்திருந்தது,"அறிவித்திருந்தது
"
3706,williams,வில்லியம்ஸ்,"வில்லியாம்்
"
3707,anumathiyai,அனுமதியை,"அனுமதியை
"
3708,kadarkaraiyin,கடற்கரையின்,"கடற்கரையின்
"
3709,thodarbukalaiyum,தொடர்புகளையும்,"தொடர்புகளையும்
"
3710,kondirundhavaraagavum,கொண்டிருந்தவராகவும்,"கொண்டிருந்தவராகவும்
"
3711,koovai,கோவை,"கோவை
"
3712,wasif,வாஸிஃப்,"வாசி்்
"
3713,parbhani,பர்பானி,"பர்பானி
"
3714,sandhegamillai,சந்தேகமில்லை,"சந்தேகமில்லை
"
3715,sirian,சிரியன்,"சிறியான்
"
3716,sey,சேய்,"செய்
"
3717,appaguthikku,அப்பகுதிக்கு,"அப்பகுதிக்கு
"
3718,kooriulla,கூறியுள்ள,"கூறிலுள்ள
"
3719,boauut,பூட்,"போயூட்
"
3720,naadoodi,நாடோடி,"நாடூடி
"
3721,valakku,வழக்கு,"வலக்கு
"
3722,vizhigal,விழிகள்,"விழிகள்
"
3723,pizhaigalai,பிழைகளை,"பிழைகளை
"
3724,nissann,நிசான்,"நிச்சன்்
"
3725,jonaavai,ஜோனாவை,"ஜோனாவை
"
3726,yell,எள்,"யால்
"
3727,saerththuch,சேர்த்துச்,"சேர்த்துச்
"
3728,kalutai,கழுதை,கலுடைடை
3729,thoarruvikka,தோற்றுவிக்க,"தோர்ருவிக்க
"
3730,porulaagavum,பொருளாகவும்,"பொருளாகவும்
"
3731,galil,களில்,"கலில்
"
3732,virumbukiraar,விரும்புகிறார்,"விரும்புகிறார்
"
3733,tata,டாடா,"தடாடா
"
3734,thiraippadath,திரைப்படத்,"திரைப்படத்
"
3735,dhadchanaamoorthi,தட்சிணாமூர்த்தி,"தட்சனாமூர்திதி
"
3736,aaivuk,ஆய்வுக்,"ஆய்வுக்
"
3737,pirathaanamaana,பிரதானமான,"பிரதானமான
"
3738,centum,செண்டம்,"செண்டும்
"
3739,puudaan,பூடான்,"பூடான்
"
3740,urudhiyaanathum,உறுதியானதும்,"உருதியானதும்
"
3741,seint,செயிண்ட்,"செய்்்ட
"
3742,idaodhukkeedu,இடஒதுக்கீடு,"இடோதுக்கீடு
"
3743,neeyae,நீயே,"நீயே
"
3744,paarkkavendum,பார்க்கவேண்டும்,"பார்க்கவேண்டும்
"
3745,ketapodhu,கேட்டபோது,"கெட்டபோது
"
3746,andarshon,ஆண்டர்சன்,"அண்தர்ஷனன்
"
3747,stevenson,ஸ்டீவன்சன்,"்்டேவன்ன்்
"
3748,madison,மடிசன்,"மடிசன்்
"
3749,azhaginai,அழகினை,"அழகினை
"
3750,mills,மில்ஸ்,"மில்ச்
"
3751,thevarkalukkaakavum,தேவர்களுக்காகவும்,"தேவர்களுக்காகவும்
"
3752,idaivelikkup,இடைவெளிக்குப்,"இடைவெளிக்குப்
"
3753,himatsingka,ஹிமத்சிங்கா,"ஹிமட்சிங்கக
"
3754,panihati,பணிஹடி,"பணிஹாிி
"
3755,maanidhar,மானிதர்,"மாணிதர்
"
3756,malik,மாலிக்,"மலிக்
"
3757,kerlam,கெர்லம்,"கேர்லாம்
"
3758,nuzhinththathaal,நுழைந்ததால்,"நுழிந்ததால்
"
3759,purappattaar,புறப்பட்டார்,"புரப்பட்டார்
"
3760,tamilagatthukku,தமிழகத்துக்கு,"தமிழகத்துக்கு
"
3761,sandhaipaduthiyavar,சந்தைப்படுத்தியவர்,"சந்தைபடுதியவர்
"
3762,luudheeana,லூதியானா,"லூதீயன
"
3763,kyuuba,கியூபா,"க்யூபா
"
3764,madoro,மடோரோ,"மடாரோ
"
3765,swaraj,ஸ்வராஜ்,"ச்வாரா்்
"
3766,cameo,கேமியோ,"கேமோ
"
3767,kadatthappattirukkum,கடத்தப்பட்டிருக்கும்,"கடத்தப்பட்டிருக்கும்
"
3768,daadaa,டாடா,"டாடா
"
3769,madhirithaan,மாதிரிதான்,"மதிரிதான்
"
3770,suravazhiyil,சூறாவளியில்,"சுரவழியில்
"
3771,tamizhagam,தமிழகம்,"தமிழகம்
"
3772,jaanukku,ஜானுக்கு,"ஜானுக்கு
"
3773,thamilaiyum,தமிழையும்,"தமிழையும்
"
3774,thuraviyum,துறவியும்,"துரவியும்
"
3775,bharat,பரத்,"பாரத்
"
3776,raamayanam,ராமாயணம்,ராமயயம்்்
3777,seidhuvittu,செய்துவிட்டு,"செய்துவிட்டு
"
3778,alembic,அளெம்பிக்,"அலெம்பிக்
"
3779,padimatthin,படிமத்தின்,"படிமத்தின்
"
3780,troy,ட்ராய்,"ட்ரோய்
"
3781,sinthanaiyai,சிந்தனையை,"சிந்தனையை
"
3782,izhanthu,இழந்து,"இழந்து
"
3783,naadukadaththappatta,நாடுகடத்தப்பட்ட,"நாடுகடத்தப்பட்ட
"
3784,niruththivittu,நிறுத்திவிட்டு,"நிறுத்திவிட்டு
"
3785,noolae,நூலே,"நூலே
"
3786,somerville,சோமர்வில்லே,"சோமேர்வில்லே
"
3787,seyarpaadugalin,செயற்பாடுகளின்,"செயர்பாடுகளின்
"
3788,saranadainthavargalaithan,சரணடைந்தவர்களைத்தான்,"சரணடைந்தவர்களைதன்
"
3789,vairamuttu,கபிலன்,"வைரமுட்டு
"
3790,piramugar,பிரமுகர்,"பிரமுகர்
"
3791,saramaariyaaga,சரமாரியாக,"சரமாரியாக
"
3792,seibavargalae,செய்பவர்களே,"செய்பவர்களே
"
3793,adaithal,அடைதல்,"அடைதல்
"
3794,azhuthu,அழுது,"அழுது
"
3795,choazharkal,சோழர்கள்,"சோழர்கள்
"
3796,paththaandukalaaka,பத்தாண்டுகளாக,"பத்தாண்டுகளாக
"
3797,vaangappothu,வாங்கப்போது,"வாங்கப்போது
"
3798,laenaa,லேனா,"லேனா
"
3799,pathineazhaam,பதினேழாம்,"பதிநேழாம்
"
3800,simon,சிமன்,"சிமோன்
"
3801,oothaa,ஊதா,"ஈதா
"
3802,santham,சாந்தம்,"சந்தம்
"
3803,mutiyavillai,தாங்க,"முடியவில்லை
"
3804,kokomo,கொகோமோ,"கோகோகோகோ
"
3805,masuuthikku,மசூதிக்கு,"மசுுதிக்கு
"
3806,pireem,பிரேம்,"பிரீம்
"
3807,azhaki,அழகி,"அழகி
"
3808,rupavauhini,ரூபவாஹினி,"ருபவாஹினி
"
3809,chozhargal,சோழர்கள்,"சொழர்கள்
"
3810,misionn,மிஷன்,"மிசியனன்
"
3811,pichin,பிசின்,"பிச்சின்
"
3812,wolga,வோல்கா,"வோல்கா
"
3813,kozhumbil,கொழும்பில்,"கொழும்பில்
"
3814,uruvaakaththilum,உருவாக்கத்திலும்,"உருவாகத்திலும்
"
3815,nati,ஜீவ,"நாடி
"
3816,seivom,செய்வோம்,"செய்வோம்
"
3817,paathai,பாதை,"பாதை
"
3818,mikkathaakavum,மிக்கதாகவும்,"மிக்கதாகவும்
"
3819,valaikutaavil,வளைகுடாவில்,"வலைகுடாவில்
"
3820,varikalai,வரிகளை,"வரிகளை
"
3821,nadaiperuvathai,நடைபெறுவதை,"நடைபெறுவதை
"
3822,burnett,பர்னெட்,"பரர்ன்ட்
"
3823,kirubai,கிருபை,"கிருபை
"
3824,manandhaal,மணந்தால்,"மணந்தால்
"
3825,kodooramaaga,கொடூரமாக,"கொடூரமாக
"
3826,kalviyilum,கல்வியிலும்,"கல்வியிலும்
"
3827,koolt,கோல்ட்,"கூல்ட்
"
3828,noolaga,நூலக,"நூலக
"
3829,solludan,சொல்லுடன்,"சொல்லுடன்
"
3830,nagaur,நகௌர்,"நாகார்
"
3831,adakkik,அடக்கிக்,"அடக்கிக்
"
3832,behuria,பெஹுரியா,"பேஹுரிிி
"
3833,silikon,சிலிக்கான்,"சிலிக்கோன்
"
3834,kavalnilaiyaththil,காவல்நிலையத்தில்,"கவல்நிலையத்தில்
"
3835,surrullaap,சுற்றுலாப்,"சுர்ருள்ளாப்
"
3836,nigara,நிகர,"நிகாரா
"
3837,ingram,இங்க்ராம்,இங்கிராம்
3838,amaravati,அமராவதி,"அமரவதடட

"
3839,kudaathaa,கூடாதா,"குடாதா
"
3840,tamizhagatthaich,தமிழகத்தைச்,"தமிழகத்தைச்
"
3841,turbau,டர்போ,"துர்பா
"
3842,nizamabad,நிசாம்பாத்,"நிழமபட்
"
